Time (UTC+10),period,Regions VIC Trading Price ($/MWh),Raw Power (MW),Market Dispatch (MWh),Opening Capacity (MWh),Closing Capacity (MWh),,,,
1/2/2018 0:30,1,57.33,0,0,0,0,0,,,
1/2/2018 1:00,2,56.32,0,0,0,0,0,,,
1/2/2018 1:30,3,51.96,-300,-150,0,135,-7864.783047,,,
1/2/2018 2:00,4,53.57,-88.88888889,-44.44444444,135,175,-2402.511492,,74908.03618,
1/2/2018 2:30,5,52.5,-300,-150,175,310,-7946.518668,,,
1/2/2018 3:00,6,53.61,0,0,310,310,0,,,
1/2/2018 3:30,7,53.13,-300,-150,310,445,-8041.876892,,,
1/2/2018 4:00,8,53.75,0,0,445,445,0,,,
1/2/2018 4:30,9,51.11,-300,-150,445,580,-7736.125126,,,
1/2/2018 5:00,10,66.34,0,0,580,580,0,,,
1/2/2018 5:30,11,67.81,0,0,580,580,0,,,
1/2/2018 6:00,12,69.3,0,0,580,580,0,,,
1/2/2018 6:30,13,68.97,0,0,580,580,0,,,
1/2/2018 7:00,14,77.13,0,0,580,580,0,,,
1/2/2018 7:30,15,72.24,0,0,580,580,0,,,
1/2/2018 8:00,16,73.57,0,0,580,580,0,,,
1/2/2018 8:30,17,77.12,0,0,580,580,0,,,
1/2/2018 9:00,18,82.21,300,135,580,430,10998.46485,,,
1/2/2018 9:30,19,77.9,0,0,430,430,0,,,
1/2/2018 10:00,20,71.6,0,0,430,430,0,,,
1/2/2018 10:30,21,73.31,0,0,430,430,0,,,
1/2/2018 11:00,22,75.77,0,0,430,430,0,,,
1/2/2018 11:30,23,76.87,0,0,430,430,0,,,
1/2/2018 12:00,24,78.8,300,135,430,280,10542.258,,,
1/2/2018 12:30,25,78.67,260,117,280,150,9121.55049,,,
1/2/2018 13:00,26,76.94,0,0,150,150,0,,,
1/2/2018 13:30,27,81.04,300,135,150,0,10841.9364,,,
1/2/2018 14:00,28,73.05,0,0,0,0,0,,,
1/2/2018 14:30,29,76.59,0,0,0,0,0,,,
1/2/2018 15:00,30,68.26,0,0,0,0,0,,,
1/2/2018 15:30,31,75.28,0,0,0,0,0,,,
1/2/2018 16:00,32,74.09,0,0,0,0,0,,,
1/2/2018 16:30,33,74.82,0,0,0,0,0,,,
1/2/2018 17:00,34,71.29,0,0,0,0,0,,,
1/2/2018 17:30,35,68.33,0,0,0,0,0,,,
1/2/2018 18:00,36,69.4,0,0,0,0,0,,,
1/2/2018 18:30,37,74.12,0,0,0,0,0,,,
1/2/2018 19:00,38,76.4,0,0,0,0,0,,,
1/2/2018 19:30,39,67.8,0,0,0,0,0,,,
1/2/2018 20:00,40,76.62,0,0,0,0,0,,,
1/2/2018 20:30,41,78.06,0,0,0,0,0,,,
1/2/2018 21:00,42,68.68,0,0,0,0,0,,,
1/2/2018 21:30,43,66.61,0,0,0,0,0,,,
1/2/2018 22:00,44,60.58,0,0,0,0,0,,,
1/2/2018 22:30,45,63.89,0,0,0,0,0,,,
1/2/2018 23:00,46,62.97,0,0,0,0,0,,,
1/2/2018 23:30,47,65.81,0,0,0,0,0,,,
1/3/2018 0:00,48,66.02,0,0,0,0,0,,,
1/3/2018 0:30,1,59.33,0,0,0,0,0,,,
1/3/2018 1:00,2,55.01,0,0,0,0,0,,,
1/3/2018 1:30,3,46.83,-300,-150,0,135,-7088.294652,,,
1/3/2018 2:00,4,46.92,-300,-150,135,270,-7101.917255,,,
1/3/2018 2:30,5,49.74,-300,-150,270,405,-7528.758829,,,
1/3/2018 3:00,6,49.37,-300,-150,405,540,-7472.754793,,,
1/3/2018 3:30,7,50.99,-88.88888889,-44.44444444,540,580,-2286.803453,,,
1/3/2018 4:00,8,52,0,0,580,580,0,,,
1/3/2018 4:30,9,54.33,0,0,580,580,0,,,
1/3/2018 5:00,10,55.38,0,0,580,580,0,,,
1/3/2018 5:30,11,62.36,0,0,580,580,0,,,
1/3/2018 6:00,12,63.41,0,0,580,580,0,,,
1/3/2018 6:30,13,67.53,0,0,580,580,0,,,
1/3/2018 7:00,14,69.86,0,0,580,580,0,,,
1/3/2018 7:30,15,71.44,0,0,580,580,0,,,
1/3/2018 8:00,16,71,0,0,580,580,0,,,
1/3/2018 8:30,17,72.51,0,0,580,580,0,,,
1/3/2018 9:00,18,73.81,0,0,580,580,0,,,
1/3/2018 9:30,19,74.1,0,0,580,580,0,,,
1/3/2018 10:00,20,73.46,0,0,580,580,0,,,
1/3/2018 10:30,21,71.7,0,0,580,580,0,,,
1/3/2018 11:00,22,75.72,0,0,580,580,0,,,
1/3/2018 11:30,23,73.89,0,0,580,580,0,,,
1/3/2018 12:00,24,76.72,300,135,580,430,10263.9852,,,
1/3/2018 12:30,25,73.1,0,0,430,430,0,,,
1/3/2018 13:00,26,72.73,0,0,430,430,0,,,
1/3/2018 13:30,27,72.04,0,0,430,430,0,,,
1/3/2018 14:00,28,76.79,300,135,430,280,10273.35015,,,
1/3/2018 14:30,29,73.56,0,0,280,280,0,,,
1/3/2018 15:00,30,74.14,0,0,280,280,0,,,
1/3/2018 15:30,31,70.81,0,0,280,280,0,,,
1/3/2018 16:00,32,72.27,0,0,280,280,0,,,
1/3/2018 16:30,33,70.84,0,0,280,280,0,,,
1/3/2018 17:00,34,71.56,0,0,280,280,0,,,
1/3/2018 17:30,35,69.83,0,0,280,280,0,,,
1/3/2018 18:00,36,66.88,0,0,280,280,0,,,
