Time (UTC+10),period,Regions VIC Trading Price ($/MWh)
2021-08-14 00:30:00,1,77.12
2021-08-14 01:00:00,2,87.96
2021-08-14 01:30:00,3,76.75
2021-08-14 02:00:00,4,77.71
2021-08-14 02:30:00,5,70.46
2021-08-14 03:00:00,6,50.07
2021-08-14 03:30:00,7,46.53
2021-08-14 04:00:00,8,37.6
2021-08-14 04:30:00,9,28.34
2021-08-14 05:00:00,10,32.69
2021-08-14 05:30:00,11,45.13
2021-08-14 06:00:00,12,50.93
2021-08-14 06:30:00,13,55.48
2021-08-14 07:00:00,14,61.09
2021-08-14 07:30:00,15,62.62
2021-08-14 08:00:00,16,60.19
2021-08-14 08:30:00,17,44.83
2021-08-14 09:00:00,18,18.28
2021-08-14 09:30:00,19,8.11
2021-08-14 10:00:00,20,7.45
2021-08-14 10:30:00,21,-15.34
2021-08-14 11:00:00,22,-28.53
2021-08-14 11:30:00,23,-26.68
2021-08-14 12:00:00,24,-39.92
2021-08-14 12:30:00,25,-28.03
2021-08-14 13:00:00,26,-27.66
2021-08-14 13:30:00,27,-26.66
2021-08-14 14:00:00,28,-28.38
2021-08-14 14:30:00,29,-28.0
2021-08-14 15:00:00,30,-18.13
2021-08-14 15:30:00,31,-13.06
2021-08-14 16:00:00,32,2.61
2021-08-14 16:30:00,33,26.0
2021-08-14 17:00:00,34,71.78
2021-08-14 17:30:00,35,150.04
2021-08-14 18:00:00,36,224.71
2021-08-14 18:30:00,37,135.95
2021-08-14 19:00:00,38,75.24
2021-08-14 19:30:00,39,65.91
2021-08-14 20:00:00,40,64.56
2021-08-14 20:30:00,41,65.99
2021-08-14 21:00:00,42,69.13
2021-08-14 21:30:00,43,57.92
2021-08-14 22:00:00,44,49.93
2021-08-14 22:30:00,45,62.86
2021-08-14 23:00:00,46,32.26
2021-08-14 23:30:00,47,25.1
2021-08-15 00:00:00,48,8.73
