Time (UTC+10),period,Regions VIC Trading Price ($/MWh),Raw Power,Market Dispatch,Opening Capacity,Closing Capacity,Max Charge,Max Discharge,Flag,Revenue,,,
7/17/2020 0:30,1,75.51,0,0,0,0,-300,0,0,0,,,
7/17/2020 1:00,2,73.98,0,0,0,0,-300,0,0,0,,,
7/17/2020 1:30,3,75.57,0,0,0,0,-300,0,0,0,,,
7/17/2020 2:00,4,71.94,0,0,0,0,-300,0,0,0,,,
7/17/2020 2:30,5,74.1,0,0,0,0,-300,0,0,0,,,
7/17/2020 3:00,6,67.36,0,0,0,0,-300,0,0,0,,,
7/17/2020 3:30,7,58.04,-300,-150,0,135,-300,0,0,-8785.06559,,,Revenue
7/17/2020 4:00,8,51.85,-300,-150,135,270,-300,270,0,-7848.133199,,,47776.47697
7/17/2020 4:30,9,74.53,0,0,270,270,-300,300,0,0,,,
7/17/2020 5:00,10,67.32,0,0,270,270,-300,300,0,0,,,
7/17/2020 5:30,11,69.14,0,0,270,270,-300,300,0,0,,,
7/17/2020 6:00,12,64.99,0,0,270,270,-300,300,0,0,,,
7/17/2020 6:30,13,65.35,0,0,270,270,-300,300,0,0,,,
7/17/2020 7:00,14,76.16,0,0,270,270,-300,300,0,0,,,
7/17/2020 7:30,15,79.41,0,0,270,270,-300,300,0,0,,,
7/17/2020 8:00,16,83.26,0,0,270,270,-300,300,0,0,,,
7/17/2020 8:30,17,153.81,300,135,270,120,-300,300,0,20577.47085,,,
7/17/2020 9:00,18,93.68,0,0,120,120,-300,240,0,0,,,
7/17/2020 9:30,19,72.65,0,0,120,120,-300,240,0,0,,,
7/17/2020 10:00,20,71.66,0,0,120,120,-300,240,0,0,,,
7/17/2020 10:30,21,110.29,240,108,120,0,-300,240,0,11804.11812,,,
7/17/2020 11:00,22,72.7,0,0,0,0,-300,0,0,0,,,
7/17/2020 11:30,23,76.14,0,0,0,0,-300,0,0,0,,,
7/17/2020 12:00,24,63.2,0,0,0,0,-300,0,0,0,,,
7/17/2020 12:30,25,71.71,0,0,0,0,-300,0,0,0,,,
7/17/2020 13:00,26,67.72,0,0,0,0,-300,0,0,0,,,
7/17/2020 13:30,27,46.23,-88.88888889,-44.44444444,0,40,-300,0,0,-2073.326606,,,
7/17/2020 14:00,28,39.75,-300,-150,40,175,-300,80,0,-6016.649849,,,
7/17/2020 14:30,29,39.94,-300,-150,175,310,-300,300,0,-6045.408678,,,
7/17/2020 15:00,30,39.97,-300,-150,310,445,-300,300,0,-6049.949546,,,
7/17/2020 15:30,31,42.72,-300,-150,445,580,-300,300,0,-6466.195762,,,
7/17/2020 16:00,32,55.85,0,0,580,580,0,300,0,0,,,
7/17/2020 16:30,33,66.67,0,0,580,580,0,300,0,0,,,
7/17/2020 17:00,34,71.83,0,0,580,580,0,300,0,0,,,
7/17/2020 17:30,35,73.94,260,117,580,450,0,300,0,8573.12118,,,
7/17/2020 18:00,36,163.47,300,135,450,300,-288.8888889,300,0,21869.83395,,,
7/17/2020 18:30,37,137.1,300,135,300,150,-300,300,0,18341.9235,,,
7/17/2020 19:00,38,73.85,0,0,150,150,-300,300,0,0,,,
7/17/2020 19:30,39,72.12,0,0,150,150,-300,300,0,0,,,
7/17/2020 20:00,40,67.65,0,0,150,150,-300,300,0,0,,,
7/17/2020 20:30,41,73.96,300,135,150,0,-300,300,0,9894.7386,,,
7/17/2020 21:00,42,59.97,0,0,0,0,-300,0,0,0,,,
7/17/2020 21:30,43,58.53,0,0,0,0,-300,0,0,0,,,
7/17/2020 22:00,44,57.89,0,0,0,0,-300,0,0,0,,,
7/17/2020 22:30,45,56.54,0,0,0,0,-300,0,0,0,,,
7/17/2020 23:00,46,48.7,0,0,0,0,-300,0,0,0,,,
7/17/2020 23:30,47,49.6,0,0,0,0,-300,0,0,0,,,
7/18/2020 0:00,48,52.77,0,0,0,0,-300,0,0,0,,,
