,Time (UTC+10),Regions NSW Trading Price ($/MWh),Regions SA Trading Price ($/MWh),Regions TAS Trading Price ($/MWh),Regions VIC Trading Price ($/MWh),Regions NSW Trading Total Intermittent Generation (MW),Regions SA Trading Total Intermittent Generation (MW),Regions TAS Trading Total Intermittent Generation (MW),Regions VIC Trading Total Intermittent Generation (MW),Regions NSW Operational Demand (MW),Regions SA Operational Demand (MW),Regions TAS Operational Demand (MW),Regions VIC Operational Demand (MW),Daily global solar exposure (MJ/m*m),Date,New VIC Covid Cases,date,Maximum temperature (Degree C)
0,2020-01-25 00:00:00,54.83,68.16,50.11,56.25,40.51,50.46,87.07,86.94,7975,1503,936,4806,30.0,2020-01-25 00:00:00,0.0,2020-01-25 00:00:00,27.4
1,2020-01-25 00:30:00,56.56,68.0,52.88,56.97,29.2,46.04,82.95,84.85,7729,1482,943,4612,30.0,2020-01-25 00:00:00,0.0,2020-01-25 00:00:00,27.4
2,2020-01-25 01:00:00,55.85,68.0,52.35,56.42,23.57,38.15,84.28,88.67,7452,1426,939,4470,30.0,2020-01-25 00:00:00,0.0,2020-01-25 00:00:00,27.4
3,2020-01-25 01:30:00,54.11,67.48,49.7,53.94,14.45,31.39,83.37,85.59,7140,1355,941,4339,30.0,2020-01-25 00:00:00,0.0,2020-01-25 00:00:00,27.4
4,2020-01-25 02:00:00,55.75,64.48,49.87,53.76,12.58,28.53,73.91,79.4,6911,1283,944,4187,30.0,2020-01-25 00:00:00,0.0,2020-01-25 00:00:00,27.4
5,2020-01-25 02:30:00,55.06,63.8,49.57,53.18,15.81,30.06,76.22,72.8,6760,1243,947,4140,30.0,2020-01-25 00:00:00,0.0,2020-01-25 00:00:00,27.4
6,2020-01-25 03:00:00,55.47,64.08,48.6,50.98,9.15,27.96,71.19,73.03,6663,1231,949,4046,30.0,2020-01-25 00:00:00,0.0,2020-01-25 00:00:00,27.4
7,2020-01-25 03:30:00,56.32,63.78,50.4,53.85,11.62,29.54,75.94,75.1,6635,1206,962,4045,30.0,2020-01-25 00:00:00,0.0,2020-01-25 00:00:00,27.4
8,2020-01-25 04:00:00,58.11,66.05,52.18,55.68,8.93,29.39,81.18,71.03,6614,1198,967,4034,30.0,2020-01-25 00:00:00,0.0,2020-01-25 00:00:00,27.4
9,2020-01-25 04:30:00,55.49,61.9,48.87,52.43,7.8,27.08,96.77,76.67,6701,1187,968,4040,30.0,2020-01-25 00:00:00,0.0,2020-01-25 00:00:00,27.4
