Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2018,01,01,25.3,1,Y
IDCJAC0010,086338,2018,01,02,21.8,1,Y
IDCJAC0010,086338,2018,01,03,21.0,1,Y
IDCJAC0010,086338,2018,01,04,23.6,1,Y
IDCJAC0010,086338,2018,01,05,30.7,1,Y
IDCJAC0010,086338,2018,01,06,41.7,1,Y
IDCJAC0010,086338,2018,01,07,21.8,1,Y
IDCJAC0010,086338,2018,01,08,21.9,1,Y
IDCJAC0010,086338,2018,01,09,22.5,1,Y
IDCJAC0010,086338,2018,01,10,25.6,1,Y
IDCJAC0010,086338,2018,01,11,34.5,1,Y
IDCJAC0010,086338,2018,01,12,30.0,1,Y
IDCJAC0010,086338,2018,01,13,20.9,1,Y
IDCJAC0010,086338,2018,01,14,19.5,1,Y
IDCJAC0010,086338,2018,01,15,20.9,1,Y
IDCJAC0010,086338,2018,01,16,26.9,1,Y
IDCJAC0010,086338,2018,01,17,30.3,1,Y
IDCJAC0010,086338,2018,01,18,40.0,1,Y
IDCJAC0010,086338,2018,01,19,40.3,1,Y
IDCJAC0010,086338,2018,01,20,24.6,1,Y
IDCJAC0010,086338,2018,01,21,28.2,1,Y
IDCJAC0010,086338,2018,01,22,23.9,1,Y
IDCJAC0010,086338,2018,01,23,23.6,1,Y
IDCJAC0010,086338,2018,01,24,23.3,1,Y
IDCJAC0010,086338,2018,01,25,26.6,1,Y
IDCJAC0010,086338,2018,01,26,28.4,1,Y
IDCJAC0010,086338,2018,01,27,33.2,1,Y
IDCJAC0010,086338,2018,01,28,38.1,1,Y
IDCJAC0010,086338,2018,01,29,33.5,1,Y
IDCJAC0010,086338,2018,01,30,21.0,1,Y
IDCJAC0010,086338,2018,01,31,19.1,1,Y
IDCJAC0010,086338,2018,02,01,22.5,1,Y
IDCJAC0010,086338,2018,02,02,22.1,1,Y
IDCJAC0010,086338,2018,02,03,28.1,1,Y
IDCJAC0010,086338,2018,02,04,25.7,1,Y
IDCJAC0010,086338,2018,02,05,25.7,1,Y
IDCJAC0010,086338,2018,02,06,29.9,1,Y
IDCJAC0010,086338,2018,02,07,37.4,1,Y
IDCJAC0010,086338,2018,02,08,27.5,1,Y
IDCJAC0010,086338,2018,02,09,24.9,1,Y
IDCJAC0010,086338,2018,02,10,30.3,1,Y
IDCJAC0010,086338,2018,02,11,21.2,1,Y
IDCJAC0010,086338,2018,02,12,23.6,1,Y
IDCJAC0010,086338,2018,02,13,29.0,1,Y
IDCJAC0010,086338,2018,02,14,23.3,1,Y
IDCJAC0010,086338,2018,02,15,24.2,1,Y
IDCJAC0010,086338,2018,02,16,22.2,1,Y
IDCJAC0010,086338,2018,02,17,25.3,1,Y
IDCJAC0010,086338,2018,02,18,24.0,1,Y
IDCJAC0010,086338,2018,02,19,25.4,1,Y
IDCJAC0010,086338,2018,02,20,29.5,1,Y
IDCJAC0010,086338,2018,02,21,29.3,1,Y
IDCJAC0010,086338,2018,02,22,31.0,1,Y
IDCJAC0010,086338,2018,02,23,33.5,1,Y
IDCJAC0010,086338,2018,02,24,31.6,1,Y
IDCJAC0010,086338,2018,02,25,19.8,1,Y
IDCJAC0010,086338,2018,02,26,26.5,1,Y
IDCJAC0010,086338,2018,02,27,31.3,1,Y
IDCJAC0010,086338,2018,02,28,30.9,1,Y
IDCJAC0010,086338,2018,03,01,20.5,1,Y
IDCJAC0010,086338,2018,03,02,22.8,1,Y
IDCJAC0010,086338,2018,03,03,32.7,1,Y
IDCJAC0010,086338,2018,03,04,21.0,1,Y
IDCJAC0010,086338,2018,03,05,21.1,1,Y
IDCJAC0010,086338,2018,03,06,27.6,1,Y
IDCJAC0010,086338,2018,03,07,28.5,1,Y
IDCJAC0010,086338,2018,03,08,30.5,1,Y
IDCJAC0010,086338,2018,03,09,28.8,1,Y
IDCJAC0010,086338,2018,03,10,35.1,1,Y
IDCJAC0010,086338,2018,03,11,22.8,1,Y
IDCJAC0010,086338,2018,03,12,20.9,1,Y
IDCJAC0010,086338,2018,03,13,20.5,1,Y
IDCJAC0010,086338,2018,03,14,21.3,1,Y
IDCJAC0010,086338,2018,03,15,20.8,1,Y
IDCJAC0010,086338,2018,03,16,24.4,1,Y
IDCJAC0010,086338,2018,03,17,32.0,1,Y
IDCJAC0010,086338,2018,03,18,23.1,1,Y
IDCJAC0010,086338,2018,03,19,28.0,1,Y
IDCJAC0010,086338,2018,03,20,19.2,1,Y
IDCJAC0010,086338,2018,03,21,25.1,1,Y
IDCJAC0010,086338,2018,03,22,28.1,1,Y
IDCJAC0010,086338,2018,03,23,29.4,1,Y
IDCJAC0010,086338,2018,03,24,24.2,1,Y
IDCJAC0010,086338,2018,03,25,25.4,1,Y
IDCJAC0010,086338,2018,03,26,18.5,1,Y
IDCJAC0010,086338,2018,03,27,22.6,1,Y
IDCJAC0010,086338,2018,03,28,30.3,1,Y
IDCJAC0010,086338,2018,03,29,21.8,1,Y
IDCJAC0010,086338,2018,03,30,23.3,1,Y
IDCJAC0010,086338,2018,03,31,22.4,1,Y
IDCJAC0010,086338,2018,04,01,27.7,1,Y
IDCJAC0010,086338,2018,04,02,20.9,1,Y
IDCJAC0010,086338,2018,04,03,19.8,1,Y
IDCJAC0010,086338,2018,04,04,20.6,1,Y
IDCJAC0010,086338,2018,04,05,18.7,1,Y
IDCJAC0010,086338,2018,04,06,21.2,1,Y
IDCJAC0010,086338,2018,04,07,21.6,1,Y
IDCJAC0010,086338,2018,04,08,29.9,1,Y
IDCJAC0010,086338,2018,04,09,25.7,1,Y
IDCJAC0010,086338,2018,04,10,28.8,1,Y
IDCJAC0010,086338,2018,04,11,27.3,1,Y
IDCJAC0010,086338,2018,04,12,26.5,1,Y
IDCJAC0010,086338,2018,04,13,25.9,1,Y
IDCJAC0010,086338,2018,04,14,16.1,1,Y
IDCJAC0010,086338,2018,04,15,19.1,1,Y
IDCJAC0010,086338,2018,04,16,21.0,1,Y
IDCJAC0010,086338,2018,04,17,16.6,1,Y
IDCJAC0010,086338,2018,04,18,19.4,1,Y
IDCJAC0010,086338,2018,04,19,22.3,1,Y
IDCJAC0010,086338,2018,04,20,20.2,1,Y
IDCJAC0010,086338,2018,04,21,22.8,1,Y
IDCJAC0010,086338,2018,04,22,20.4,1,Y
IDCJAC0010,086338,2018,04,23,26.9,1,Y
IDCJAC0010,086338,2018,04,24,24.6,1,Y
IDCJAC0010,086338,2018,04,25,20.1,1,Y
IDCJAC0010,086338,2018,04,26,17.5,1,Y
IDCJAC0010,086338,2018,04,27,17.8,1,Y
IDCJAC0010,086338,2018,04,28,18.3,1,Y
IDCJAC0010,086338,2018,04,29,18.0,1,Y
IDCJAC0010,086338,2018,04,30,19.6,1,Y
IDCJAC0010,086338,2018,05,01,23.4,1,Y
IDCJAC0010,086338,2018,05,02,23.2,1,Y
IDCJAC0010,086338,2018,05,03,24.4,1,Y
IDCJAC0010,086338,2018,05,04,17.2,1,Y
IDCJAC0010,086338,2018,05,05,21.6,1,Y
IDCJAC0010,086338,2018,05,06,21.7,1,Y
IDCJAC0010,086338,2018,05,07,19.5,1,Y
IDCJAC0010,086338,2018,05,08,17.9,1,Y
IDCJAC0010,086338,2018,05,09,18.4,1,Y
IDCJAC0010,086338,2018,05,10,12.8,1,Y
IDCJAC0010,086338,2018,05,11,15.1,1,Y
IDCJAC0010,086338,2018,05,12,16.9,1,Y
IDCJAC0010,086338,2018,05,13,16.2,1,Y
IDCJAC0010,086338,2018,05,14,15.9,1,Y
IDCJAC0010,086338,2018,05,15,14.6,1,Y
IDCJAC0010,086338,2018,05,16,14.3,1,Y
IDCJAC0010,086338,2018,05,17,15.0,1,Y
IDCJAC0010,086338,2018,05,18,17.7,1,Y
IDCJAC0010,086338,2018,05,19,15.5,1,Y
IDCJAC0010,086338,2018,05,20,16.2,1,Y
IDCJAC0010,086338,2018,05,21,16.7,1,Y
IDCJAC0010,086338,2018,05,22,17.0,1,Y
IDCJAC0010,086338,2018,05,23,15.3,1,Y
IDCJAC0010,086338,2018,05,24,16.1,1,Y
IDCJAC0010,086338,2018,05,25,14.9,1,Y
IDCJAC0010,086338,2018,05,26,20.5,1,Y
IDCJAC0010,086338,2018,05,27,20.7,1,Y
IDCJAC0010,086338,2018,05,28,20.5,1,Y
IDCJAC0010,086338,2018,05,29,17.9,1,Y
IDCJAC0010,086338,2018,05,30,15.1,1,Y
IDCJAC0010,086338,2018,05,31,14.8,1,Y
IDCJAC0010,086338,2018,06,01,13.3,1,Y
IDCJAC0010,086338,2018,06,02,13.6,1,Y
IDCJAC0010,086338,2018,06,03,13.8,1,Y
IDCJAC0010,086338,2018,06,04,14.4,1,Y
IDCJAC0010,086338,2018,06,05,15.0,1,Y
IDCJAC0010,086338,2018,06,06,19.1,1,Y
IDCJAC0010,086338,2018,06,07,17.8,1,Y
IDCJAC0010,086338,2018,06,08,13.6,1,Y
IDCJAC0010,086338,2018,06,09,15.6,1,Y
IDCJAC0010,086338,2018,06,10,15.3,1,Y
IDCJAC0010,086338,2018,06,11,17.6,1,Y
IDCJAC0010,086338,2018,06,12,16.6,1,Y
IDCJAC0010,086338,2018,06,13,14.1,1,Y
IDCJAC0010,086338,2018,06,14,14.5,1,Y
IDCJAC0010,086338,2018,06,15,14.0,1,Y
IDCJAC0010,086338,2018,06,16,13.1,1,Y
IDCJAC0010,086338,2018,06,17,13.1,1,Y
IDCJAC0010,086338,2018,06,18,12.0,1,Y
IDCJAC0010,086338,2018,06,19,14.5,1,Y
IDCJAC0010,086338,2018,06,20,15.3,1,Y
IDCJAC0010,086338,2018,06,21,15.1,1,Y
IDCJAC0010,086338,2018,06,22,15.0,1,Y
